model,Train Accuracy,Test Accuracy,Arabic,English,Hindi,Indonesian,Polish,Thai,Czech,Japanese,Portuguese,Swedish,French,Korean,Spanish,Finnish,Icelandic,Italian,Chinese,Galician,German,Turkish,Russian
LogReg_V1,0.2720952380952381,0.2721904761904762,0.292,0.252,0.208,0.288,0.286,0.248,0.282,0.044,0.292,0.3,0.25,0.306,0.302,0.336,0.33,0.222,0.29,0.264,0.278,0.304,0.342
LogReg_V2,0.272047619047619,0.2724761904761904,0.292,0.254,0.208,0.288,0.286,0.248,0.28,0.044,0.294,0.302,0.248,0.306,0.302,0.332,0.33,0.222,0.292,0.264,0.278,0.308,0.344
LogReg_Regularized,0.2716666666666666,0.2715238095238095,0.292,0.254,0.208,0.282,0.284,0.248,0.284,0.042,0.29,0.302,0.246,0.308,0.3,0.336,0.326,0.22,0.286,0.264,0.278,0.304,0.348
RF_V1,0.8606428571428572,0.2595238095238095,0.24,0.284,0.172,0.306,0.298,0.214,0.25,0.046,0.312,0.288,0.246,0.258,0.29,0.302,0.3,0.254,0.222,0.31,0.286,0.252,0.32
RF_V2,0.8607619047619048,0.2647619047619048,0.268,0.29,0.172,0.312,0.292,0.214,0.266,0.056,0.318,0.294,0.238,0.264,0.3,0.308,0.288,0.272,0.218,0.32,0.29,0.256,0.324
RF_V3,0.2909761904761905,0.2878095238095238,0.31,0.284,0.224,0.31,0.302,0.25,0.302,0.05,0.31,0.308,0.27,0.31,0.318,0.342,0.348,0.262,0.264,0.306,0.288,0.314,0.372
XGB_V1,0.344047619047619,0.2908571428571428,0.296,0.318,0.212,0.326,0.316,0.246,0.292,0.048,0.318,0.322,0.27,0.31,0.324,0.328,0.364,0.268,0.258,0.298,0.316,0.302,0.376
XGB_V2,0.3438571428571429,0.2891428571428571,0.292,0.304,0.202,0.318,0.312,0.254,0.294,0.054,0.318,0.326,0.272,0.308,0.314,0.338,0.356,0.282,0.246,0.286,0.302,0.32,0.374
XGB_V3,0.2905952380952381,0.2872380952380952,0.304,0.29,0.222,0.31,0.31,0.26,0.3,0.046,0.31,0.316,0.266,0.302,0.306,0.34,0.346,0.262,0.266,0.3,0.292,0.314,0.37
QDA,0.24114285714285716,0.2407619047619048,0.258,0.24,0.186,0.298,0.254,0.186,0.258,0.048,0.258,0.25,0.246,0.258,0.25,0.31,0.24,0.218,0.206,0.27,0.228,0.304,0.29
