id,root
1,25
2,24
3,11
4,11
5,1
6,4
7,3
8,5
9,9
10,11
11,31
12,4
13,11
14,18
15,25
16,5
17,1
18,4
19,11
20,6
21,2
22,24
23,5
24,38
25,19
26,23
27,2
28,12
29,6
30,4
31,18
32,1
33,4
34,2
35,16
36,24
37,32
38,12
39,14
40,13
41,18
42,28
43,25
44,7
45,28
46,18
47,20
48,18
49,7
50,41
51,4
52,7
53,33
54,46
55,10
56,16
57,20
58,37
59,26
60,8
61,11
62,25
63,2
64,1
65,20
66,15
67,13
68,16
69,12
70,13
71,15
72,29
73,25
74,3
75,20
76,11
77,9
78,5
79,16
80,25
81,23
82,5
83,3
84,8
85,8
86,7
87,7
88,4
89,19
90,8
91,12
92,33
93,15
94,23
95,26
96,9
97,2
98,31
99,3
100,5
101,16
102,2
103,3
104,23
105,20
106,2
107,23
108,3
109,21
110,3
111,10
112,17
113,16
114,11
115,12
116,13
117,5
118,12
119,23
120,12
121,11
122,17
123,1
124,3
125,14
126,28
127,11
128,7
129,29
130,10
131,14
132,7
133,15
134,4
135,8
136,6
137,8
138,28
139,5
140,17
141,10
142,10
143,17
144,17
145,7
146,3
147,14
148,3
149,4
150,6
151,7
152,15
153,13
154,3
155,10
156,4
157,3
158,11
159,4
160,28
161,6
162,1
163,10
164,4
165,20
166,9
167,26
168,4
169,21
170,4
171,27
172,1
173,15
174,3
175,12
176,15
177,6
178,17
179,21
180,14
181,7
182,4
183,6
184,15
185,1
186,21
187,17
188,20
189,4
190,4
191,1
192,14
193,36
194,10
195,9
196,8
197,28
198,17
199,6
200,35
201,31
202,14
203,3
204,6
205,5
206,28
207,10
208,11
209,15
210,19
211,18
212,20
213,2
214,24
215,17
216,28
217,10
218,5
219,27
220,12
221,18
222,38
223,2
224,10
225,10
226,12
227,15
228,1
229,16
230,8
231,22
232,24
233,15
234,26
235,1
236,25
237,21
238,4
239,10
240,26
241,16
242,2
243,17
244,32
245,7
246,25
247,12
248,22
249,22
250,34
251,22
252,1
253,6
254,7
255,11
256,9
257,27
258,1
259,9
260,62
261,10
262,11
263,31
264,6
265,12
266,7
267,32
268,8
269,2
270,13
271,20
272,21
273,17
274,8
275,49
276,16
277,14
278,16
279,4
280,11
281,7
282,13
283,24
284,5
285,5
286,18
287,8
288,8
289,27
290,10
291,12
292,8
293,3
294,24
295,12
296,29
297,15
298,10
299,2
300,12
301,13
302,15
303,4
304,8
305,22
306,1
307,33
308,2
309,1
310,5
311,12
312,6
313,28
314,5
315,54
316,10
317,34
318,10
319,12
320,44
321,12
322,4
323,11
324,7
325,21
326,17
327,24
328,20
329,11
330,26
331,2
332,9
333,1
334,21
335,29
336,29
337,17
338,3
339,16
340,1
341,3
342,5
343,23
344,32
345,10
346,14
347,21
348,8
349,23
350,6
351,13
352,14
353,16
354,6
355,8
356,16
357,6
358,21
359,15
360,18
361,7
362,20
363,26
364,25
365,3
366,12
367,4
368,12
369,15
370,34
371,9
372,14
373,17
374,13
375,25
376,7
377,9
378,4
379,19
380,12
381,8
382,22
383,5
384,3
385,9
386,6
387,6
388,11
389,21
390,3
391,8
392,14
393,17
394,2
395,3
396,6
397,2
398,48
399,17
400,1
401,8
402,10
403,5
404,1
405,1
406,19
407,16
408,2
409,17
410,10
411,5
412,5
413,30
414,2
415,18
416,16
417,14
418,16
419,18
420,19
421,14
422,6
423,10
424,30
425,8
426,9
427,8
428,7
429,22
430,12
431,25
432,11
433,16
434,22
435,13
436,20
437,23
438,13
439,2
440,4
441,7
442,7
443,3
444,10
445,5
446,16
447,2
448,7
449,1
450,2
451,8
452,16
453,15
454,1
455,17
456,30
457,14
458,10
459,10
460,28
461,9
462,6
463,16
464,5
465,17
466,8
467,17
468,11
469,22
470,15
471,20
472,21
473,18
474,13
475,15
476,5
477,18
478,21
479,9
480,43
481,26
482,5
483,7
484,31
485,19
486,18
487,19
488,12
489,15
490,34
491,24
492,8
493,12
494,8
495,21
496,14
497,18
498,7
499,7
500,5
501,6
502,1
503,1
504,11
505,4
506,10
507,9
508,9
509,6
510,11
511,7
512,7
513,11
514,1
515,13
516,4
517,1
518,4
519,11
520,7
521,5
522,6
523,17
524,7
525,21
526,5
527,7
528,5
529,10
530,7
531,1
532,12
533,5
534,4
535,7
536,9
537,6
538,14
539,3
540,9
541,7
542,6
543,8
544,12
545,17
546,8
547,4
548,15
549,21
550,5
551,2
552,3
553,4
554,12
555,7
556,5
557,9
558,3
559,16
560,2
561,11
562,5
563,3
564,4
565,1
566,5
567,9
568,3
569,1
570,8
571,2
572,13
573,4
574,14
575,20
576,17
577,4
578,8
579,1
580,2
581,7
582,5
583,15
584,14
585,13
586,9
587,8
588,9
589,1
590,14
591,3
592,7
593,18
594,5
595,3
596,10
597,1
598,2
599,9
600,4
601,4
602,18
603,3
604,14
605,13
606,1
607,10
608,3
609,6
610,7
611,3
612,13
613,3
614,8
615,9
616,4
617,15
618,3
619,3
620,10
621,13
622,6
623,4
624,22
625,11
626,7
627,4
628,3
629,13
630,2
631,8
632,1
633,8
634,5
635,9
636,1
637,10
638,3
639,7
640,4
641,5
642,5
643,1
644,10
645,5
646,4
647,12
648,8
649,8
650,4
651,14
652,8
653,7
654,5
655,8
656,5
657,7
658,2
659,1
660,1
661,5
662,5
663,9
664,12
665,1
666,7
667,2
668,4
669,9
670,1
671,1
672,11
673,10
674,12
675,7
676,5
677,12
678,2
679,5
680,1
