id,root
1,2
2,22
3,35
4,5
5,1
6,2
7,3
8,15
9,18
10,16
11,9
12,3
13,21
14,6
15,5
16,15
17,23
18,4
19,11
20,26
21,4
22,24
23,5
24,20
25,2
26,23
27,15
28,19
29,6
30,4
31,9
32,1
33,11
34,2
35,1
36,9
37,3
38,25
39,2
40,5
41,11
42,14
43,25
44,4
45,28
46,10
47,17
48,22
49,7
50,6
51,7
52,9
53,11
54,55
55,8
56,12
57,22
58,11
59,26
60,16
61,11
62,2
63,4
64,35
65,20
66,6
67,20
68,16
69,11
70,31
71,17
72,36
73,25
74,3
75,12
76,15
77,9
78,15
79,16
80,12
81,8
82,5
83,20
84,8
85,8
86,8
87,7
88,8
89,19
90,21
91,12
92,18
93,15
94,28
95,26
96,15
97,5
98,24
99,16
100,5
101,16
102,2
103,7
104,23
105,10
106,6
107,23
108,3
109,2
110,17
111,2
112,17
113,21
114,11
115,2
116,15
117,5
118,22
119,6
120,20
121,11
122,4
123,5
124,18
125,14
126,26
127,14
128,30
129,7
130,17
131,10
132,2
133,15
134,17
135,15
136,15
137,1
138,28
139,3
140,1
141,5
142,6
143,14
144,17
145,11
146,14
147,7
148,3
149,13
150,3
151,12
152,6
153,23
154,16
155,8
156,4
157,4
158,11
159,19
160,28
161,6
162,14
163,8
164,18
165,6
166,10
167,17
168,3
169,23
170,12
171,27
172,2
173,15
174,34
175,11
176,3
177,5
178,24
179,21
180,11
181,7
182,21
183,2
184,10
185,5
186,9
187,2
188,14
189,2
190,13
191,12
192,17
193,32
194,18
195,9
196,8
197,2
198,12
199,2
200,35
201,9
202,14
203,9
204,6
205,16
206,50
207,10
208,7
209,15
210,8
211,13
212,2
213,18
214,8
215,11
216,21
217,16
218,5
219,27
220,19
221,8
222,23
223,2
224,10
225,20
226,12
227,6
228,1
229,16
230,10
231,15
232,13
233,1
234,16
235,12
236,25
237,12
238,5
239,10
240,2
241,16
242,18
243,6
244,31
245,41
246,29
247,12
248,10
249,22
250,16
251,33
252,4
253,6
254,24
255,16
256,25
257,8
258,4
259,40
260,19
261,20
262,11
263,31
264,24
265,12
266,7
267,29
268,10
269,21
270,16
271,3
272,21
273,4
274,3
275,6
276,16
277,19
278,4
279,4
280,11
281,5
282,4
283,25
284,8
285,5
286,18
287,7
288,4
289,20
290,4
291,12
292,8
293,23
294,17
295,14
296,5
297,4
298,5
299,6
300,7
301,18
302,24
303,31
304,2
305,22
306,11
307,25
308,17
309,4
310,10
311,2
312,6
313,12
314,31
315,38
316,10
317,35
318,4
319,12
320,39
321,10
322,4
323,11
324,14
325,26
326,21
327,2
328,20
329,1
330,7
331,2
332,5
333,1
334,21
335,22
336,19
337,17
338,3
339,5
340,17
341,14
342,8
343,23
344,38
345,8
346,9
347,8
348,12
349,21
350,5
351,13
352,35
353,8
354,17
355,1
356,40
357,1
358,5
359,2
360,18
361,19
362,13
363,8
364,30
365,3
366,3
367,10
368,7
369,15
370,26
371,26
372,25
373,4
374,13
375,8
376,1
377,12
378,6
379,2
380,14
381,2
382,1
383,1
384,3
385,19
386,6
387,8
388,5
389,20
390,11
391,8
392,14
393,17
394,20
395,1
396,18
397,12
398,39
399,10
400,12
401,11
402,10
403,7
404,1
405,16
406,19
407,5
408,15
409,17
410,15
411,14
412,5
413,3
414,6
415,4
416,5
417,14
418,10
419,1
420,7
421,22
422,6
423,4
424,30
425,8
426,14
427,6
428,12
429,4
430,22
431,19
432,14
433,16
434,22
435,10
436,9
437,3
438,17
439,20
440,4
441,7
442,7
443,11
444,10
445,5
446,16
447,2
448,12
449,10
450,1
451,9
452,33
453,9
454,1
455,21
456,30
457,10
458,10
459,1
460,4
461,9
462,14
463,3
464,5
465,17
466,9
467,18
468,31
469,24
470,11
471,33
472,26
473,11
474,13
475,30
476,34
477,23
478,28
479,15
480,28
481,26
482,5
483,8
484,31
485,1
486,18
487,19
488,12
489,15
490,18
491,12
492,8
493,15
494,21
495,8
496,12
497,15
498,6
499,13
500,5
501,6
502,1
503,8
504,11
505,4
506,20
507,6
508,5
509,6
510,11
511,3
512,12
513,10
514,1
515,13
516,4
517,3
518,4
519,17
520,7
521,5
522,3
523,17
524,7
525,21
526,4
527,1
528,5
529,10
530,10
531,13
532,6
533,10
534,10
535,5
536,6
537,10
538,10
539,3
540,9
541,3
542,8
543,20
544,12
545,17
546,2
547,4
548,18
549,14
550,5
551,2
552,20
553,6
554,9
555,2
556,5
557,9
558,3
559,3
560,6
561,7
562,10
563,3
564,4
565,4
566,8
567,7
568,4
569,1
570,10
571,14
572,9
573,7
574,4
575,19
576,14
577,4
578,2
579,12
580,2
581,7
582,15
583,11
584,14
585,7
586,9
587,8
588,9
589,1
590,14
591,8
592,7
593,18
594,1
595,2
596,11
597,4
598,2
599,4
600,7
601,4
602,16
603,3
604,11
605,11
606,1
607,11
608,15
609,6
610,3
611,3
612,13
613,3
614,7
615,9
616,7
617,15
618,3
619,17
620,10
621,13
622,9
623,21
624,12
625,7
626,7
627,3
628,10
629,13
630,2
631,8
632,3
633,8
634,5
635,5
